Title,Price sale,Price origin,url,CPU type,RAM type,Number of RAM slots,Material,Security,Manufacturer,Panel material,Screen size,Screen resolution,Operating system,Brand,Storage,Ram,CPU
Laptop Lenovo Thinkpad T14 gen 3,21213181,21213181,https://cellphones.com.vn/laptop-lenovo-thinkpad-t14-gen-3.html,"i7 1260P 3.4GHz (up to 4.7 GHz, 18MB Cache)",DDR4 3200Mhz,,Vỏ kim loại,Bảo mật Intel vPro Đầu đọc dấu vân tay cảm ứng khi bật nguồn Bảo vệ thông tin cá nhân Discrete Trusted Platform Module (dTPM) 2.0 chip Khe khóa Kensington Tile ready,Lenovo,Tấm nền IPS,14,1920 x 1200 pixels (WUXGA),Windows 11,Lenovo,1024.0,16,
Laptop HP Elitebook 820 G3,21213181,21213181,https://cellphones.com.vn/laptop-hp-elitebook-820-g3.html,"Intel Core i5 6200U (2.4 GHz, up to 2.8 GHz)",DDR3L 2133MHz,1 Thanh RAM 8GB,,,HP,,12.5,1366 x 768 pixels,Windows 11,HP,256.0,8,i5
Mac mini M2 Pro 2023 (10 CPU - 16 GPU - 32GB - 1TB) | Chính hãng Apple Việt Nam,21213181,21213181,https://cellphones.com.vn/mac-mini-m2-pro-32gb-1tb-2023.html,Apple M2 Pro 10 nhân,,,,,,,14,,Mac,Mac,1024.0,32,M2
Laptop Dell Latitude 3420,21213181,21213181,https://cellphones.com.vn/laptop-dell-latitude-3420.html,"Intel Core i5-1135G7 ( 2.4 GHz - 4.2 GHz, 8MB, 4 nhân / 8 luồng )",DDR4 3200MHz,2 khe cắm (Hỗ trợ tối đa 32GB),,,,,14,1366 x 768 pixels,Windows 11,Dell,256.0,8,i5
Laptop HP Elitebook 840 G9,21213181,21213181,https://cellphones.com.vn/laptop-hp-elitebook-840-g9.html,"Intel Core i7 1260P (2.1 GHz, up to 4.7 GHz, 12 nhân/ 16 luồng, 18MB Cache)",DDR5 2 khe,2 Thanh RAM hỗ trợ tối đa lên 64GB,Vỏ kim loại,Công tắc khóa camera Bào vật vân tay,HP,Tấm nền IPS,14,1920 x 1200 pixels (WUXGA),Windows 11,HP,512.0,16,i7
Laptop Acer Aspire 3 A315-58-529V NX.ADDSV.00N,21213181,21213181,https://cellphones.com.vn/laptop-acer-aspire-3-a315-58-529v-nx-addsv-00n.html,"Intel Core i5-1135G7 (2.4Ghz~ 4.2GHz, 4 lõi / 8 luồng, 8MB)",DDR4 2400Mhz,2 khe nâng cấp tối đa 12GB,,,,,15.6,1920 x 1080 pixels (FullHD),Windows 11,Acer,1024.0,8,i5
Laptop Lenovo IdeaPad Slim 3 14IAH8 83EQ0004VN,21213181,21213181,https://cellphones.com.vn/laptop-lenovo-ideapad-slim-3-14iah8-83eq0004vn.html,"Intel Core i5-12450H (8C/ 12T, 2.00GHz up to 4.40GHz, 12MB)",LPDDR5-4800,1 thanh RAM,Vỏ nhựa,,Lenovo,Tấm nền IPS,14,1920 x 1080 pixels (FullHD),Windows 11,Lenovo,512.0,8,i5
Laptop Dell Latitude E7450,21213181,21213181,https://cellphones.com.vn/laptop-dell-latitude-e7450.html,"Intel Core i3-5010U, 3 MB",DDR3L SDRAM (1600 MHz),2 khe cắm SODIMM (Nâng cấp tối đa 16 GB),,,,,14,1366 x 768 pixels,Windows 11,Dell,120.0,4,i3
Laptop Asus VivoBook 14 X1404VA-NK125W,21213181,21213181,https://cellphones.com.vn/laptop-asus-vivobook-14-x1404va-nk125w.html,"Intel Core i5-1335U 1.3GHz (12MB Cache, up to 4.6GHz)","DDR4 3200MHz (1x SO-DIMM socket, up to 16GB SDRAM)",,Vỏ kim loại,,,Tấm nền IPS,14,1920 x 1080 pixels (FullHD),Windows 11,Asus,256.0,8,i5
Laptop Avita Liber V14,21213181,21213181,https://cellphones.com.vn/laptop-avita-liber-v14-ns14a9vnv561-ug8ab.html,Ryzen 5 -4500U,"LPDDR4X, 3200 MHz",,,,,Tấm nền IPS,14,1920 x 1080 pixels (FullHD),Windows 11,Avita,512.0,8,
Laptop HP Elitebook 840 G8,21213181,21213181,https://cellphones.com.vn/laptop-hp-elitebook-840-g8.html,Intel Core i7 - 1165G7,DDR4,,,,,,14,1920 x 1080 pixels (FullHD),Windows 11,HP,512.0,16,i7
Laptop Lenovo Ideapad 1 15AMN7 82VG0022VN,21213181,21213181,https://cellphones.com.vn/laptop-lenovo-ideapad-1-15amn7-82vg0022vn.html,"AMD Ryzen 5 7520U (4 lõi / 8 luồng, 2.8 / 4.3GHz, 2MB L2 / 4MB L3)",LPDDR5-5500 Onboard ,,Vỏ nhựa,Firmware TPM 2.0,,Tấm nền TN,15.6,1920 x 1080 pixels (FullHD),Windows 11,Lenovo,1024.0,8,Ryzen 5
Laptop Lenovo Ideapad Slim 5 Light 14ABR8 82XS0007VN,21213181,21213181,https://cellphones.com.vn/laptop-lenovo-ideapad-slim-5-light-14abr8-82xs0007vn.html,"AMD Ryzen 7 7730U (8 lõi / 16 luồng, up to 4.5GHz, 3MB L2 / 16MB L3)",DDR4-3200 Onboard,,Vỏ kim loại,,Lenovo,Tấm nền IPS,14,1920 x 1080 pixels (FullHD),Windows 11,Lenovo,512.0,8,Ryzen 7
Laptop Dell Latitude E5440,21213181,21213181,https://cellphones.com.vn/laptop-dell-latitude-e5440.html,Intel Core i5 - 4300U,,,,,,,14,1366 x 768 pixels,Windows 11,Dell,500.0,4,i5
Laptop HP Probook 450 G9,21213181,21213181,https://cellphones.com.vn/laptop-hp-probook-450-g9.html,Intel Core i5 Alder Lake - 1235U,DDR4 3200 MHz,1 khe 8 GB + 1 khe rời,Vỏ kim loại,TPM 2.0Bảo mật vân tay,HP,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,HP,512.0,8,i5
Laptop Gaming Acer Nitro 5 AN515-55-5923 NH.Q7NSV.004,21213181,21213181,https://cellphones.com.vn/laptop-gaming-acer-nitro-5-an515-55-5923.html,Intel Core i5 10300H,"DDR4, 2933 MHz",,,,,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,Gaming,512.0,8,i5
Laptop Asus Zenbook S 13 Oled UX5304VA-NQ126W,21213181,21213181,https://cellphones.com.vn/laptop-asus-zenbook-s-13-oled-ux5304va-nq126w.html,"Intel Core i7-1355U ( up to 5.0 GHz, 10 lõi/ 12 luồng, 12MB Cache)",LPDDR5 onboard,,,,ASUS,Tấm nền OLED/AMOLED,13.3,2880 x 1800 pixels,Windows 11,Asus,1024.0,32,i7
Laptop Dell Vostro 5320 V3I7007W,21213181,21213181,https://cellphones.com.vn/laptop-dell-vostro-5320-v3i7007w.html,Intel Core I7-1260P  ,LPDDR5,,,,Dell,,13.3,2560 x 1600 pixel (2K),Windows 11,Dell,512.0,16,i7
Laptop Dell Alienware M16,21213181,21213181,https://cellphones.com.vn/laptop-dell-alienware-m16.html,"Intel® Core™ i7-13650HX thế hệ thứ 13 (bộ nhớ đệm 24 MB, 14 lõi, 20 luồng, Turbo lên đến 4,90 GHz)",DDR5 4800 MHz,2 x khe 8GB,Vỏ kim loại,,Dell,,16,2560 x 1600 pixels (2K),Windows 11,Dell,512.0,16,i7
Laptop HP Gaming Victus 16-E1105AX 7C0T0PA,21213181,21213181,https://cellphones.com.vn/laptop-hp-gaming-victus-16-e1105ax-7c0t0pa.html,"AMD Ryzen 5 6600H (up to 4.5 GHz, 16 MB L3 cache, 6 lõi / 12 luồng)",DDR5 4800MHz,2 x 8 GB,Vỏ nhựa,Trusted Platform Module (Firmware TPM),,Tấm nền IPS,16.1,1920 x 1080 pixels (FullHD),Windows 11,HP,512.0,16,Ryzen 5
Laptop Lenovo Legion Slim 5 16IRH8 82YA00BTVN,21213181,21213181,https://cellphones.com.vn/laptop-lenovo-legion-slim-5-16irh8-82ya00btvn.html,"Intel Core i5-13500H, 12 lõi (4P + 8E) / 16 luồng, P-core 2.6 / 4.7GHz, E-core 1.9 / 3.5GHz, 18MB",SO-DIMM DDR5-5200,2 khe DDR5 SO-DIMM (Nâng cấp tối đa 32GB),Vỏ nhựa,Firmware TPM 2.0 Enabled,,Tấm nền IPS,16,2560 x 1600 (WQXGA),Windows 11,Lenovo,1024.0,8,i5
Laptop HP Gaming Victus 16-E1102AX 7C139PA,21213181,21213181,https://cellphones.com.vn/laptop-hp-gaming-victus-16-e1102ax-7c139pa.html,AMD Ryzen 7 6800H (3.2GHz~4.7GHz) 8 lõi / 16 luồng,DDR5 4800MHz (up to 32GB),2x 8GB,,,,Tấm nền IPS,16.1,1920 x 1080 pixels (FullHD),Windows 11,HP,512.0,16,Ryzen 7
Laptop HP Envy 16-H0205TX 7C0T2PA,21213181,21213181,https://cellphones.com.vn/laptop-hp-envy-16-h0205tx-7c0t2pa.html,"Intel Core i9-12900H (14 lõi / 20 luồng, 2.5 GHz - 5.0 GHz, 24MB)",DDR5 4800MHz,2 khe,,,,Tấm nền OLED/AMOLED,16,3840 x 2400 pixel (4K),Windows 11,HP,512.0,32,i9
Laptop Lenovo Yoga Slim 7 Carbon 13IAP7 82U90044VN,21213181,21213181,https://cellphones.com.vn/laptop-lenovo-yoga-slim-7-carbon-13iap7-82u90044vn.html,"Intel Core i5-1240P, 12 lõi/16 luồng, P-core 1.7/4.4GHz, E-core 1.2/3.3GHz, 12MB",16GB Onboard LPDDR5 4800MHz,,Vỏ kim loại,Firmware TPM 2.0,,Tấm nền IPS,13.3,2560 x 1600 pixels (2K),Windows 11,Lenovo,1024.0,16,i5
Laptop Dell Latitude 5420,21213181,21213181,https://cellphones.com.vn/laptop-dell-latitude-5420.html,"Intel Core i5-1135G7 (Upto 4.2 GHz, 8M cache)",DDR4 3200Mhz,,,,,,14,1920 x 1080 pixels (FullHD),Windows 11,Dell,256.0,8,i5
Laptop HP Gaming Victus 16-D1191TX 7C0S5PA,21213181,21213181,https://cellphones.com.vn/laptop-hp-gaming-victus-16-d1191tx-7c0s5pa.html,Intel Core i5 - 12500H (3.3GHz~4.5GHz) 8 lõi / 16 luồng,DDR5 4800MHz (up to 32GB),2x 8GB,,,,Tấm nền IPS,16.1,1920 x 1080 pixels (FullHD),Windows 11,HP,512.0,16,i5
Laptop HP Gaming Victus 15-FA0108TX 7C0X0PA,21213181,21213181,https://cellphones.com.vn/laptop-hp-gaming-victus-15-fa018tx-7c0x0pa.html,"Intel Core i7-12700H, 14 lõi / 20 luồng, Xung nhịp tối đa 4.7GHz 24MB",DDR4 3200MHz,2 x 8GB,,,,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,HP,512.0,16,i7
Laptop HP ENVY X360 13-BF0092TU 76V59PA,21213181,21213181,https://cellphones.com.vn/laptop-hp-envy-x360-13-bf0092tu-76v59pa.html,"Intel Core i7-1250U (12MB Cache, up to 4.7 GHz, 10 lõi / 12 luồng)",LPDDR4x 4266MHz,,,,,Tấm nền Oled,13.3,2880 x 1800 pixels,Windows 11,HP,512.0,8,i7
Laptop HP Gaming Victus 15-FA0108TX 7C0X0PA,21213181,21213181,https://cellphones.com.vn/laptop-hp-gaming-victus-15-fa018tx-7c0x0pa.html,"Intel Core i7-12700H, 14 lõi / 20 luồng, Xung nhịp tối đa 4.7GHz 24MB",DDR4 3200MHz,2 x 8GB,,,,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,HP,512.0,16,i7
Laptop MSI Katana GF66 12UDK-814VN,21213181,21213181,https://cellphones.com.vn/laptop-msi-katana-gf66-12udk-814vn.html,"Intel Core i7 12650H (2.30 GHz up to 4.70 GHz, 10 lõi / 16 luồng, 24 MB)",DDR4 3200 MHz,2 khe 8 GB (Nâng cấp tối đa 64GB),Vỏ nhựa,,,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,MSI,512.0,16,i7
Laptop Dell Latitude 5480,21213181,21213181,https://cellphones.com.vn/laptop-dell-latitude-5480.html,Intel Core i5-6200U 2.3GHz,DDR4 SDRAM,,,,,,14,1366 x 768 pixels,Windows 11,Dell,256.0,8,i5
Laptop Dell Latitude E7470,21213181,21213181,https://cellphones.com.vn/laptop-dell-latitude-e7470.html,"Intel Core i5-6300U (2.4GHz, up to 3 GHz, 3M Cache)",DDR4 2133MHz,,,,,,14,1920 x 1080 pixels (FullHD),Windows 11,Dell,256.0,8,i5
Laptop Dell Inspiron 14 7420 1YT85,21213181,21213181,https://cellphones.com.vn/laptop-dell-inspiron-14-7420-1yt85.html,"Intel Core i7-1255U ( 1.7 GHz - 4.7GHz / 12MB / 10 nhân, 12 luồng )",DDR4,2 khe,,Vân tay,Dell,Tấm nền IPS,14,1920 x 1200 pixels (FullHD+),Windows 11,Dell,512.0,16,i7
Laptop Dell Alienware M15 R7,21213181,21213181,https://cellphones.com.vn/laptop-dell-alienware-m15-r7.html,"Intel Core i7 12700H 2.1GHz (14lõi /20 luồng, 24MB cache)",DDR5 4800MHz,2 thanh RAM hỗ trợ tối đa lên đến 64GB,,,Dell,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,Dell,512.0,16,i7
MacBook Pro 16 inch M3 Pro 2023 (12 CPU - 18 GPU 36GB 512GB),21213181,21213181,https://cellphones.com.vn/macbook-pro-16-inch-m3-pro-36gb-512gb-2023.html,Apple M3 Pro 12 nhân,,,,Touch ID,,,14.2,3024 x 1964 pixels ,Mac,Mac,512.0,36,M3
Laptop HP Elitebook 8470P,21213181,21213181,https://cellphones.com.vn/laptop-hp-elitebook-8470p.html,"Intel Core i5-3320M (2.6 GHz,  Turbo Boost 3.5 GHz, 3 MB)",DDR3,,,,HP,,14,,Windows 11,HP,128.0,16,i5
Laptop Dell Latitude E7240,21213181,21213181,https://cellphones.com.vn/laptop-dell-latitude-e7240.html,Intel Core i7 4310U 2 GHz,,,,,,,12.5,1366 x 768 pixels,Windows 11,Dell,128.0,4,i7
Laptop ASUS ExpertBook B1 B1502CVA-NJ0148W,21213181,21213181,https://cellphones.com.vn/laptop-asus-expertbook-b1-b1502cva-nj0148w.html,"Intel Core i7-1355U (1.7 GHz, 12M Cache, up to 5.0 GHz, 10 lõi)",DDR4 Onboard,,Vỏ nhựa,Cảm biến vân tay tích hợp Touchpad Khe bảo mật Kensington Nano Khởi động BIOS Bảo vệ mật khẩu người dùng Mật khẩu người dùng thiết lập BIOS Máy tính đã sẵn sàng từ BIOS Bảo vệ và bảo mật mật khẩu người dùng HDD Mô-đun nền tảng đáng,ASUS,Tấm nền TN,15.6,1920 x 1080 pixels (FullHD),Windows 11,ASUS,512.0,8,i7
Laptop Dell XPS 9500,21213181,21213181,https://cellphones.com.vn/laptop-dell-xps-9500.html,"Intel Core i5 10300H (4 nhân / 8 luồng, 4 GHz)",DDR4 bus 2933MHz (Nâng cấp tối đa 64GB),,,,,Tấm nền IPS,15,1920 x 1200 pixels (FullHD+),Windows 11,Dell,256.0,8,i5
Laptop Dell Inspiron N7490-N4I5106W,21213181,21213181,https://cellphones.com.vn/laptop-dell-inspiron-n7490-n4i5106w.html,Intel Core I5 -10210U,LPDDR3,,,Mật khẩu,Dell,Tấm nền IPS,14,1920 x 1200 pixels (FullHD+),Windows 11,Dell,512.0,8,i5
Laptop Dell Vostro 5468,21213181,21213181,https://cellphones.com.vn/laptop-dell-vostro-5468.html, Intel Core i5 Kabylake - 7200U,DDR4 2400 MHz,2 khe,Vỏ nhựa,,,,14,1366 x 768 pixels,Windows 11,Dell,1024.0,4,i5
Laptop Dell Latitude 5520,21213181,21213181,https://cellphones.com.vn/laptop-dell-latitude-5520.html,"Intel Core i5 - 1145G7 (upto 4.40GHz, 4 nhân/ 8 luồng, 8MB Cache)",DDR4 3200MHz,1 Thanh RAM,,,Dell,,15.6,1920 x 1080 pixels (FullHD),Windows 11,Dell,256.0,8,i5
Laptop Dell Insprion 5620 N6I5003W1,21213181,21213181,https://cellphones.com.vn/laptop-dell-insprion-5620-n6i5003w1.html,Intel Core i5 - 1240P,DDR4,,,,Dell,,16,1920 x 1080 pixels (FullHD),Windows 11,Dell,512.0,16,i5
Laptop Lenovo Thinkbook 14 G2 ARE,21213181,21213181,https://cellphones.com.vn/laptop-lenovo-thinkbook-14-g2-are.html,AMD Ryzen 7 4700U 2.00 GHz (tối đa 4.10 GHz) / 8 nhân / 8 luồng / 8 MB,"DDR4 3200 MHz, hỗ trợ tối đa 32GB",1 khe trống,,HD Webcam (720p Webcam),Lenovo,Tấm nền IPS,14,1920 x 1080 pixels (FullHD),Windows 11,Lenovo,512.0,8,Ryzen 7
Laptop Lenovo Thinkpad X260,21213181,21213181,https://cellphones.com.vn/laptop-lenovo-thinkpad-x260.html,"Intel Core i7-6600U 3.4 GHz, 4M Cache",DDR4,,,,Lenovo,Tấm nền IPS,12.5,1920 x 1080 pixels (FullHD),Windows 11,Lenovo,128.0,16,i7
Laptop Dell Insprion 5620 N6I5003W1,21213181,21213181,https://cellphones.com.vn/laptop-dell-insprion-5620-n6i5003w1.html,Intel Core i5 - 1240P,DDR4,,,,Dell,,16,1920 x 1080 pixels (FullHD),Windows 11,Dell,512.0,16,i5
Laptop Dell Latitude 5520,21213181,21213181,https://cellphones.com.vn/laptop-dell-latitude-5520.html,"Intel Core i5 - 1145G7 (upto 4.40GHz, 4 nhân/ 8 luồng, 8MB Cache)",DDR4 3200MHz,1 Thanh RAM,,,Dell,,15.6,1920 x 1080 pixels (FullHD),Windows 11,Dell,256.0,8,i5
Laptop Vaio FE 15 VWNC51527-BK,21213181,21213181,https://cellphones.com.vn/laptop-vaio-fe-15-vwnc51527-bk.html,"Intel Core i5-1235U (Up to 4.40 GHz, 12M Cache)",LPDDR4x 4266 MHz,,,,,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,Vaio,512.0,8,i5
Apple Mac mini 8GB 256GB 2018 (MRTT2),21213181,21213181,https://cellphones.com.vn/mac-mini-8gb-256gb-2018-mrtt2.html,3.0GHz Six-core 8th-generation Intel Core i5-8500B,8GB 2666MHz DDR4 memory,,,,,,14,,Mac,Mac,,8,i5
Laptop Lenovo Thinkpad P50,21213181,21213181,https://cellphones.com.vn/laptop-lenovo-thinkpad-p50.html,"Intel Core i7 6700HQ (2.80 GHz, Turbo Boost 3.7 GHz)",DDR4 (Onboard) 2133 MHz,,Vỏ kim loại,,,Tấm nền IPS,15.6,3840 x 2160 pixels,Windows 11,Lenovo,256.0,64,i7
Laptop HP 15S FQ1111TU 193R0PA,21213181,21213181,https://cellphones.com.vn/laptop-hp-15s-fq1111tu-193r0pa.html,Intel Core i3 Ice Lake - 1005G1,DDR4,"2 khe, nâng cấp tối đa 16GB",Vỏ nhựa,,HP,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,HP,256.0,4,i3
Laptop HP Gaming Victus 16-D1187TX 7C0S4PA,21213181,21213181,https://cellphones.com.vn/laptop-hp-gaming-victus-16-d1187tx-7c0s4pa.html,"Intel Core i7 - 12700H (up to 4.7 GHz, 24 MB L3 cache, 14 lõi / 20 luồng)",DDR5 4800MHz,1x 8 GB,Vỏ nhựa,Trusted Platform Module (FirmwareTPM),,Tấm nền IPS,16.1,1920 x 1080 pixels (FullHD),Windows 11,HP,512.0,8,i7
Laptop HP Pavilion 15-EG2087TU 7C0Q9PA,21213181,21213181,https://cellphones.com.vn/laptop-hp-pavilion-15-eg2087tu-7c0q9pa.html,Intel Core I3-1215U Processor,DDR4 3200MHz,2 khe,,,HP,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,HP,256.0,8,i3
Laptop HP Elitebook 845 G9,21213181,21213181,https://cellphones.com.vn/laptop-hp-elitebook-845-g9.html,AMD Ryzen 5 6600U,DDR5 4800 SODIMM,1 Thanh RAM,,,HP,,14,1920 x 1200 pixels (WUXGA),Windows 11,HP,256.0,16,Ryzen 5
Laptop Lenovo Ideapad Slim 5 16IMH9 83DC001RVN,21213181,21213181,https://cellphones.com.vn/laptop-lenovo-ideapad-slim-5-16imh9-83dc001rvn.html,"Intel core Ultra 5 125H (14 nhân / 18 luồng, up to 4.5 GHz, 18MB cache)",Onboard LPDDR5x-7467,,Vỏ kim loại,Bảo mật TPM 2.0 Camera hồng ngoại cho Windows Hello,,Tấm nền Oled,16,2048 x 1280 pixels,Windows 11,Lenovo,1024.0,16,
Laptop Lenovo ThinkPad E16 GEN 1 21JN006GVN,21213181,21213181,https://cellphones.com.vn/laptop-lenovo-thinkpad-e16-gen-1-21jn006gvn.html,"Intel core i7-1355U (10 nhân/12 luồng, up to 5.0 GHz, 12MB cache)",DDR4-3200,"2 khe (8GB Onboard + 8GB SO-DIMM DDR4-3200, nâng cấp tối đa 40 GB)",Vỏ kim loại,TPM 2.0 rời Đầu đọc dấu vân tay tích hợp trong nút nguồn Camera hồng ngoại cho Windows Hello Màn trập bảo mật camera,,Tấm nền IPS,16,1920 x 1200 pixels (WUXGA),Windows 11,Lenovo,1024.0,16,
Laptop Lenovo Thinkpad P51,21213181,21213181,https://cellphones.com.vn/laptop-lenovo-thinkpad-p51.html,"Intel Core i7-7820HQ (2.90 GHz, 8MB Cache, 4 Cores)",DDR4 (2400 MHz),4 khe SODIMM,,,,Tấm nền IPS,15.6,3840 x 2160 pixels,Windows 11,Lenovo,1024.0,64,i7
Laptop Dell Insprion 5620 N6I7000W1,21213181,21213181,https://cellphones.com.vn/laptop-dell-insprion-5620-n6i7000w1.html,Intel Core I7 - 1260P,DDR4,,,,Dell,,16,1920 x 1080 pixels (FullHD),Windows 11,Dell,512.0,16,i7
Laptop Dell Latitude E7250,21213181,21213181,https://cellphones.com.vn/laptop-dell-latitude-e7250.html,"Intel Core i5 5300U, 2.3 GHz",DDR3,,,,,,12.5,,Windows 11,Dell,256.0,8,i5
Laptop HP Gaming Victus 16-E0170AX 4R0U7PA,21213181,21213181,https://cellphones.com.vn/laptop-hp-gaming-victus-16-e0170ax-4r0u7pa.html,AMD Ryzen 7 - 5800H,DDR4 3200 MHz,2 khe (hỗ trợ nâng cấp 32GB),Vỏ nhựa,,,Tấm nền IPS,16.1,1920 x 1080 pixels (FullHD),Windows 11,HP,512.0,8,Ryzen 7
Laptop Dell Latitude E5520,21213181,21213181,https://cellphones.com.vn/laptop-dell-latitude-e5520.html,Intel Core i7 - 2620M,‎‎DDR3 SDRAM 2.7 GHz,,,,,,14.1,,Windows 11,Dell,320.0,8,i7
Laptop Itel Spirit 1 i3,21213181,21213181,https://cellphones.com.vn/laptop-itel-spirit-1-i3.html,"Intel Core i3 Coffee Lake - 8109U (2 nhân, 4 luồng)","4 GB DDR4, 2400 MHz, tối đa 32 GB",2 khe (1 khe 4GB onboard + 1 khe rời),Vỏ nhựa,,,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,Itel,1024.0,4,i3
Samsung Galaxy Book,21213181,21213181,https://cellphones.com.vn/laptop-samsung-galaxy-book.html,Intel Core i7-1165G7,LPDDR4x ,,Vỏ kim loại,,,Tấm nền OLED/AMOLED,15.6,1920 x 1080 pixels (FullHD),Mac,Mac,512.0,8,i7
Laptop HP Pavilion 15-EG1040TU 5Z9V3PA,21213181,21213181,https://cellphones.com.vn/laptop-hp-pavilion-15-eg1040tu-5z9v3pa.html,Intel Core i5-1155G7 ,DDR4,2 khe,,,,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,HP,256.0,8,i5
Laptop HP Pavilion 15 EG2065TX 7C0Q3PA,21213181,21213181,https://cellphones.com.vn/laptop-hp-pavilion-15-eg2065tx-7c0q3pa-i5-1235u-8gb-256gb.html,"Intel Core i5-1235U ( 1.3 GHz - 4.4 GHz / 12MB / 10 nhân, 12 luồng )",DDR4 3200MHz ,1 khe 8GB + 1 khe trống,,,,Tấm nền IPS,15.6,1080 x 1920 pixels (FullHD),Windows 11,HP,256.0,8,i5
Laptop HP Probook 6570B,21213181,21213181,https://cellphones.com.vn/laptop-hp-probook-6570b.html,"Intel Core i3-3110M (2.4 GHz, 2 lõi / 4 luồng, 3 MB)",DDR3-SDRAM 1600 MHz,2 khe SO-DIMM (Nâng cấp tối đa 16 GB),,,,,15.6,1366 x 768 pixels,Windows 11,HP,320.0,4,i3
Laptop HP Probook 450 G3,21213181,21213181,https://cellphones.com.vn/laptop-hp-probook-450-g3.html,"Intel Core i5 - 6200U (2.30 GHz, up to 2.80 GHz, 2 lõi / 4 luồng, 3 MB)",DDR3 1600 MHz,2 khe (Nâng cấp tối đa 32GB),,,,,15.6,1366 x 768 pixels,Windows 11,HP,500.0,4,i5
Laptop HP Elitebook 8460P,21213181,21213181,https://cellphones.com.vn/laptop-hp-elitebook-8460p.html,Intel Core i5-2520M 2.5GHz,,,,,,,14,1366 x 768 pixels,Windows 11,HP,250.0,8,i5
Laptop HP Gaming Victus 15-FA0110TX 7C0R3PA,21213181,21213181,https://cellphones.com.vn/laptop-hp-gaming-victus-15-fa0110tx-7c0r3pa.html,"Intel Core i7 - 12700H (up to 4.7 GHz, 24 MB L3 cache, 14 lõi / 20 luồng)", DDR4 3200 MHz,1x 8 GB,Vỏ nhựa,Trusted Platform Module (FirmwareTPM),,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,HP,512.0,8,i7
Laptop HP 15S-DU1040TX 8RE77PA,21213181,21213181,https://cellphones.com.vn/laptop-hp-15s-du1040tx-8re77pa.html,Intel Core i7 - 10510U, 8GB DDR4-2666 SDRAM (1 x 8 GB),2 khe,,,HP,,15.6,1366 x 768 pixels,Windows 11,HP,512.0,8,i7
Laptop HP Envy X360 2IN2 2022,21213181,21213181,https://cellphones.com.vn/laptop-hp-envy-x360-2in2-2022.html,AMD Ryzen™ 5 5625U 6 Cores 12 Threads up to 4.0 GHz,DDR4-3200,,Vỏ kim loại,,HP,Tấm nền IPS,15.6,,Windows 11,HP,256.0,8,
Laptop Lenovo Ideapad 5 14ITL05 82FG0129VN,21213181,21213181,https://cellphones.com.vn/laptop-lenovo-ideapad-5-14itl05-82fg0129vn.html,Intel Core i5 1135G7,DDR4 3200 MHz,,,,Lenovo,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,Lenovo,512.0,8,i5
Laptop Alienware X14 R1,21213181,21213181,https://cellphones.com.vn/laptop-alienware-x14-r1.html,"Intel Core i7-12700H (14 nhân 20 luồng, xung nhịp tối đa có thể đạt tới 4.7GHz với Turbo Boost, 24 MB Intel® Smart Cache)",LPDDR5 4800MHz MHz,,,,Dell,Tấm nền IPS,14,1920 x 1080 pixels (FullHD),Windows 11,Alienware,512.0,16,i7
Laptop HP Pavilion 15-EG2085TU 7C0Q7PA,21213181,21213181,https://cellphones.com.vn/laptop-hp-pavilion-15-eg2085tu-7c0q7pa.html,Intel Core I5-1240P Processor,DDR4 3200MHz ,2 khe,,,HP,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,HP,256.0,8,i5
Laptop HP Pavilion 15-EG2062TX 7C0W7PA,21213181,21213181,https://cellphones.com.vn/laptop-hp-pavilion-15-eg2062tx-7c0w7pa.html,Intel® Core™ i5-1235U Processor,DDR4 3200MHz ,2 khe,Vỏ kim loại,,HP,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,HP,512.0,8,i5
Laptop HP Elitebook 840 G6,21213181,21213181,https://cellphones.com.vn/laptop-hp-elitebook-840-g6.html,"Intel Core i5 8365U (1.6GHz, Upto 4.1GHz, 4 lõi / 8 luồng, 6MB Cache)",DDR4 2660MHz,,,,,Tấm nền IPS,14,1920 x 1080 pixels (FullHD),Windows 11,HP,256.0,8,i5
