Title,Price sale,Price origin,url,CPU type,RAM type,Number of RAM slots,Material,Security,Manufacturer,Panel material,Screen size,Screen resolution,Operating system,Brand,Storage,Ram,CPU
Laptop Lenovo Yoga Duet 7 13ITL6 82MA009PVN,22990000,36490000,https://cellphones.com.vn/laptop-lenovo-yoga-duet-7-13itl6-82ma009pvn.html,"Intel Core i7-1165G7 (4 lõi/8 luồng, 2.8/4.7GHz, 12MB)",16GB Onboard DDR4-3200,,Vỏ nhựa,Firmware TPM 2.0,,Tấm nền IPS,13,2160 x 1350 pixels,Windows 11,Lenovo,1024.0,16,i7
MacBook Pro 14 inch M2 Pro 2023 (12 CPU - 19 GPU 16GB 1TB 2023),21213181,21213181,https://cellphones.com.vn/macbook-pro-14-inch-m2-pro-1tb-2023.html,Apple M2 Pro 12 nhân,,,,Cảm biến vân tay ,,,14.2,3024 x 1964 pixels ,Mac,Mac,1024.0,16,M2
Laptop ASUS Vivobook 15 OLED A1505ZA-L1245W,21213181,21213181,https://cellphones.com.vn/laptop-asus-vivobook-15-oled-a1505za-l1245w.html,"Intel Core i5-12500H (2.5 GHz, 18M Cache, up to 4.5 GHz, 4P + 8E cores)",DDR4 Onboard,"1 khe ram trống, có thể gắn thêm 8GB",Vỏ nhựa,Cảm biến vân tay tích hợp Touchpad McAfee LiveSafe Khởi động BIOS Bảo vệ mật khẩu người dùng BIOS setup user password Mô-đun nền tảng đáng tin cậy (Firmware TPM),,Tấm nền OLED/AMOLED,15.6,1920 x 1080 pixels (FullHD),Windows 11,ASUS,512.0,8,i5
MacBook Pro 16 inch M2 Max 2023 (12 CPU - 38 GPU - 32GB - 1TB),21213181,21213181,https://cellphones.com.vn/macbook-pro-16-inch-m2-max-2023.html,Apple M2 Max 12 nhân,,Không hỗ trợ nâng cấp,,Bảo mật vân tay ,,,16,3456 x 2234 pixels ,Mac,Mac,1024.0,32,M2
Laptop Lenovo Ideapad Slim 5 16IAH8 83BG004EVN,21213181,21213181,https://cellphones.com.vn/laptop-lenovo-ideapad-slim-5-16iah8-83bg004evn.html,"Intel Core i5-12450H (8 lõi (4P + 4E) / 12 luồng, P-core 2.0 / 4.4GHz, E-core 1.5 / 3.3GHz, 12MB)",LPDDR5-4800 Onboard,,Vỏ kim loại,Firmware TPM 2.0 ,,Tấm nền IPS,16,1920 x 1200 pixels (WUXGA),Windows 11,Lenovo,1024.0,16,i5
Laptop MSI Cyborg 15 A12VF-267VN,21213181,21213181,https://cellphones.com.vn/laptop-msi-cyborg-15-a12vf-267vn.html,"Intel Core i7 12650H (2.30 GHz up to 4.70 GHz, 10 lõi / 16 luồng, 24 MB, 8 GT/s)",DDR5 4800 MHz,2 khe (Nâng cấp tối đa 64GB),Vỏ nhựa,,,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,MSI,512.0,8,i7
Laptop HP Pavilion 15-EG3091TU 8C5L2PA,21213181,21213181,https://cellphones.com.vn/laptop-hp-pavilion-15-eg3091tu-8c5l2pa.html,"Intel Core i7 - 1355U (10 lõi / 12 luồng, 1.70 GHz, Turbo Boost 5.0 GHz, 12 MB)",DDR4 3200 MHz,"2 khe (1 khe 8 GB + 1 khe 8 GB, nâng cấp tối đa 32 GB)",Vỏ kim loại,,,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,HP,512.0,16,i7
Laptop Asus Vivobook Flip 14 TP470EA EC346W,21213181,21213181,https://cellphones.com.vn/laptop-asus-vivobook-flip-14-tp470ea-ec346w.html,Intel Core i3-1115G4,LPDDR4X 3200MHz Onboard,,Vỏ nhựa,,,Tấm nền IPS,14,1920 x 1080 pixels (FullHD),Windows 11,Asus,512.0,4,i3
Macbook Pro 16 M3 Max 36GB - 1TB | Chính hãng Apple Việt Nam,21213181,21213181,https://cellphones.com.vn/macbook-pro-16-inch-m3-max-2023-36gb-1tb.html,Apple M3 Max 14 nhân,,,,Touch ID,,,16.2,3024 x 1964 pixels ,Mac,Mac,1024.0,36,M3
Laptop MSI Modern 14 C12MO-660VN,21213181,21213181,https://cellphones.com.vn/laptop-msi-modern-14-c12mo-660vn.html,"Intel Core i5-1235U (10 lõi / 12 luồng, Up to 4.4GHz)",DDR4 3200MHz Onboard,,,,,Tấm nền IPS,14,1920 x 1080 pixels (FullHD),Windows 11,MSI,512.0,16,i5
Laptop Dell Latitude 7400,21213181,21213181,https://cellphones.com.vn/laptop-dell-latitude-7400.html,"Intel Core i5-8365U Quad-Core (1.6 GHz - 4.1 GHz, 6 MB)",DDR4 (Có thể tháo ra và nâng cấp lên tối đa 32 GB),2 khe,,,,,14,1920 x 1080 pixels (FullHD),Windows 11,Dell,256.0,8,i5
MacBook Pro 14 inch M2 Pro 2023 (10 CPU - 16 GPU - 32GB - 512GB),21213181,21213181,https://cellphones.com.vn/macbook-pro-14-inch-m2-pro-32gb-2023.html,Apple M2 Pro chip,,,,Cảm biến vân tay ,,,14.2,3024 x 1964 pixels ,Mac,Mac,512.0,32,M2
Laptop ASUS Vivobook 14 X1402ZA-EK084W,21213181,21213181,https://cellphones.com.vn/laptop-asus-vivobook-14-x1402za-ek084w.html,"Intel Core I5-1240P 1.7 GHz (12M Cache, up to 4.4 GHz, 4P + 8E cores)",DDR4 Onboard,,Vỏ nhựa,BIOS Booting bảo vệ mật khẩu người dùng  BIOS setup user password  Trusted Platform Module (Firmware TPM)  Cảm biến vân tay tích hợp với Touchpad  Bản dùng thử McAfee LiveSafe 30 ngày,,,14,1920 x 1080 pixels (FullHD),Windows 11,ASUS,256.0,8,I5
Laptop MSI Crosshair 15 B12UEZ-460VN,21213181,21213181,https://cellphones.com.vn/laptop-msi-gaming-crosshair-15-b12uez-460vn.html,"Intel Core i7-12700H 14 nhân 24 luồng, Tốc độ CPU 3.50 GHz",(8GB x 2) DDR4 Buss 3200,2 Khe nâng cấp tối đa 64 GB,,,,Tấm nền IPS,15.6,2560x1440 (Quad HD),Windows 11,MSI,1024.0,16,i7
Laptop Gigabyte G5 GD-51VN123SO,21213181,21213181,https://cellphones.com.vn/laptop-gigabyte-g5-gd-51vn123so.html," Intel Core i5-11400H (6 lõi / 12 luồng, 2.70 GHz up to 4.50 GHz, 12 MB)",DDR4 3200Mhz,2 khe (Nâng cấp tối đa 64GB),Vỏ nhựa,,,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,Gigabyte,512.0,16,i5
Laptop MSI Modern 14 C7M-083VN,21213181,21213181,https://cellphones.com.vn/laptop-msi-modern-14-c7m-083vn.html,"AMD Ryzen 5-7530U 2.0GHz up to 4.5GHz, 6 lõi/12 luồng",DDR4-3200 Onboard,,,,,Tấm nền IPS,14,1920 x 1080 pixels (FullHD),Windows 11,MSI,512.0,8,Ryzen 5
Laptop Asus Zenbook 14 UX3402ZA KM218W,21213181,21213181,https://cellphones.com.vn/laptop-asus-zenbook-14-ux3402za-km218w.html,"Intel Core™ i5-1240P 1.7 GHz (12M Cache, up to 4.4 GHz, 4P + 8E cores)  Intel® Evo™ Platform",8GB LPDDR5 on board,,Vỏ kim loại,Cảm biến vân tay tích hợp với phím nguồn  Trusted Platform Module (TPM),,Tấm nền OLED/AMOLED,14,2880 x 1800 pixels,Windows 11,Asus,512.0,8,
Laptop ASUS VivoBook 15X OLED S3504VA-L1226W,21213181,21213181,https://cellphones.com.vn/laptop-asus-vivobook-15x-oled-s3504va-l1226w.html,"Intel Core I5-1340P (12MB Cache, 1.9 GHz up to 4.6 GHz, 12 lõi / 16 luồng)",DDR4,2 khe (8GB Onboard + 8GB SO-DIMM),Vỏ nhựa,McAfee LiveSafe 30 ngày dùng thử miễn phí Cảm biến vân tay tích hợp với Touchpad McAfee LiveSafe Khởi động BIOS bảo vệ mật khẩu người dùng Mật khẩu người dùng thiết lập BIOS Mô-đun nền tảng đáng tin cậy (Firmware TPM),,Tấm nền OLED/AMOLED,15.6,1920 x 1080 pixels (FullHD),Windows 11,ASUS,512.0,16,i5
Laptop MSI Katana GF66 12UCK-699VN,21213181,21213181,https://cellphones.com.vn/laptop-msi-katana-gf66-2uck-699vn.html,I5-12450H,DDR4,2 khe,,,,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,MSI,512.0,8,
Laptop gaming MSI GF63 Thin 11SC 664VN,21213181,21213181,https://cellphones.com.vn/laptop-msi-gaming-gf63-thin-11sc-664vn.html,Intel Core i5-11400H 2.7GHz up to 4.5GHz 12MB,DDR4 3200MHz ,2 Khe nâng cấp tối đa 64 GB,,,,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,gaming,512.0,8,i5
Laptop Dell XPS 9315,21213181,21213181,https://cellphones.com.vn/laptop-dell-xps-9315.html,"Intel Core i7 1265U, 10 lõi / 12 luồng",16GB LPDDR5 bus 5200MHz,,Vỏ kim loại,,,Tấm nền IPS,13.4,1920 x 1200 pixels (FullHD+),Windows 11,Dell,512.0,16,i7
Laptop HP 14S DQ2644TU,21213181,21213181,https://cellphones.com.vn/laptop-hp-14s-dq2644tu.html,Core i3 1115G4,,1 khe ram trống (nâng cấp tối đa 16GB),Vỏ nhựa,,,,14,1080 x 1920 pixels (FullHD),Windows 11,HP,256.0,8,i3
Laptop ASUS ROG Flow X16 GV601VV-NL016W,21213181,21213181,https://cellphones.com.vn/laptop-asus-rog-flow-x16-gv601vv-nl016w.html,"Intel Core I9-13900H (Up to 5.4GHz, 24MB)",8GB x 2DDR5 4800Mhz,2 khe,,,,,16,2560x1600 pixel (QHD+),Windows 11,ASUS,1024.0,16,i9
Laptop Dell Latitude 7480,21213181,21213181,https://cellphones.com.vn/laptop-dell-latitude-7480.html,Intel Core i5-7300U (2.6GHz up to 3.50 GHz 3MB),DDR4 2133MHz,,,,,,14.1,1920 x 1080 pixels (FullHD),Windows 11,Dell,256.0,8,i5
Laptop MSI Modern 14 C7M-212VN,21213181,21213181,https://cellphones.com.vn/laptop-msi-modern-14-c7m-212vn.html,"AMD Ryzen 5-7530U  (up to 4.5 GHz, 6 lõi / 12 luồng, 16 MB)",,1 thanh RAM,,,,Tấm nền IPS,14,1920 x 1080 pixels (FullHD),Windows 11,MSI,512.0,16,Ryzen 5
Laptop Dell Latitude E5430,21213181,21213181,https://cellphones.com.vn/laptop-dell-latitude-e5430.html,"Intel Core i5-3320M 2.6 Ghz (3M Cache, up to 3.30 GHz) ",,,,,Dell,,14,1366 x 768 pixels,Windows 11,Dell,120.0,4,i5
Laptop Lenovo Gaming Legion 5 15ARH7 82RE0035VN,21213181,21213181,https://cellphones.com.vn/laptop-lenovo-gaming-legion-5-15arh7-82re0035vn.html,"AMD Ryzen 7 6800H (8 lõi / 16 luồng, 3.2 / 4.7GHz, 4MB L2 / 16MB L3)",8GB SO-DIMM DDR5-4800,"2 khe cắm DDR5 SO-DIMM, tối đa 16GB DDR5-4800",Vỏ kim loại,Firmware TPM 2.0,,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,Lenovo,512.0,8,Ryzen 7
Laptop ASUS Rog Strix Scar 15 G533ZS-LN036W,21213181,21213181,https://cellphones.com.vn/laptop-asus-rog-strix-scar-15-g533zs-ln036w.html,12th Gen Intel® Core™ i9-12900H ,DDR5,2x DDR5 SO-DIMM slots 2x PCIe,,,ASUS,Tấm nền IPS,15.6,2560x1440 (Quad HD),Windows 11,ASUS,1024.0,32,i9
Laptop ASUS Zenbook 14 Flip OLED UP5401ZA-KN101W,21213181,21213181,https://cellphones.com.vn/laptop-asus-zenbook-14-flip-oled-up5401za-kn101w.html,Intel® Core™ i7-12700H Processor 2.3 GHz,LPDDR5,,Vỏ kim loại,Bảo mật vân tayMật khẩu,ASUS,Tấm nền OLED/AMOLED,14,2880 x 1800 pixels,Windows 11,ASUS,512.0,16,
Laptop Lenovo Thinkpad X1 Carbon gen 10,21213181,21213181,https://cellphones.com.vn/laptop-lenovo-thinkpad-x1-carbon-gen-10.html,"Intel Core i7 Alder Lake - 1260P (12 lõi / 16 luồng, 2.10 GHz, Turbo Boost 4.7 GHz, 18 MB)",LPDDR5 (Onboard) 5200 MHz,,Vỏ kim loại,TPM 2.0  Glance by Mirametrix  Độ bền chuẩn quân đội MIL STD 810H    Công tắc khóa camera  Mở khóa khuôn mặt,,Tấm nền IPS,14,1920 x 1200 pixels (WUXGA),Windows 11,Lenovo,1024.0,16,i7
