Title,Price sale,CPU,Ram,Storage,Operating system,Brand,Screen size,discount
MacBook Pro 16 inch M2 Pro 2023 (12 CPU - 19 GPU - 16GB - 1TB),49990000.0,m2,16.0,1024.0,Mac,mac,16.0,21000000.0
Laptop MSI Cyborg 15 A12UCX-618VN,14490000.0,i5,16.0,512.0,Windows 11,msi,15.6,5500000.0
Laptop Acer Aspire 5 A515-58GM-59LJ,13490000.0,i5,8.0,1024.0,Windows 11,acer,15.6,7000000.0
Mac mini M2 Pro 2023 (10 CPU - 16 GPU - 16GB - 512GB) | Chính hãng Apple Việt Nam,29990000.0,m2,16.0,512.0,Mac,mac,14.0,5000000.0
Laptop Asus Vivobook 14 OLED A1405VA-KM257W,14490000.0,i5,16.0,512.0,Windows 11,asus,14.0,6500000.0
Laptop Lenovo IdeaPad Flex 5 14IAU7 82R700JLVN,13490000.0,i5,16.0,512.0,Windows 11,lenovo,14.0,5500000.0
Laptop Gigabyte MF F2VN333SH,16990000.0,i5,8.0,512.0,Windows 11,gigabyte,15.6,6000000.0
Laptop Acer Aspire 7 A715-76G-59MW,14990000.0,i5,8.0,1024.0,Windows 11,acer,15.6,6500000.0
Laptop Lenovo IdeaPad 3 14ITL6 82H701QYVN,10490000.0,i5,16.0,512.0,Windows 11,lenovo,14.0,5000000.0
Mac mini M2 2023 (8 CPU - 10 GPU - 16GB - 512GB) | Chính hãng Apple Việt Nam,21990000.0,m2,16.0,512.0,Mac,mac,14.0,6000000.0
Laptop MSI Modern 15 B7M-231VN,9990000.0,ryzen 5,16.0,512.0,Windows 11,msi,15.6,5000000.0
Laptop Asus Vivobook 15 Oled A1505VA L1491W,16690000.0,i7,16.0,512.0,Windows 11,asus,15.6,6300000.0
Macbook Air M3 13 inch 2024 8GB - 512GB | Chính hãng Apple Việt Nam,30490000.0,m3,8.0,512.0,Mac,mac,13.6,2500000.0
Laptop Acer Swift 3 SF314-512-56QN NX.K0FSV.002,15490000.0,i5,16.0,512.0,Windows 11,acer,14.0,8300000.0
Laptop LG GRAM 2023 16Z90RS-G.AH54A5,30990000.0,i5,16.0,512.0,Windows 11,lg,16.0,13000000.0
Laptop Lenovo Yoga Slim 6 14IRH8 83E00008VN,19990000.0,i7,16.0,1024.0,Windows 11,lenovo,14.0,5000000.0
Laptop MSI Katana 15 B13VFK-676VN,26990000.0,i7,16.0,1024.0,Windows 11,msi,15.6,10000000.0
Laptop ASUS ZenBook S 13 OLED UX5304VA-NQ125W,27990000.0,i7,16.0,512.0,Windows 11,asus,13.3,12000000.0
Laptop HP Elitebook 630 G9 6M142PA,13990000.0,i5,8.0,256.0,Windows 11,hp,13.3,6000000.0
Laptop HP Pavilion 15-EG3095TU 8C5L6PA,14790000.0,i5,8.0,512.0,Windows 11,hp,15.6,5200000.0
Laptop MSI Modern 15 B13M-438VN,10990000.0,i5,8.0,512.0,Windows 11,msi,15.6,7500000.0
Laptop Gaming Acer Nitro 5 Tiger AN515-58-769J NH.QFHSV.003,18990000.0,i7,8.0,1024.0,Windows 11,gaming,15.6,11000000.0
Laptop MSI Cyborg 15 A12UCX-281VN,13990000.0,i5,8.0,512.0,Windows 11,msi,15.6,6000000.0
Laptop Acer Aspire 5 Spin 14 A5SP14-51MTN-573X,15990000.0,i5,16.0,1024.0,Windows 11,acer,14.0,5000000.0
Macbook Air M3 13 inch 2024 16GB - 256GB sạc 30W | Chính hãng Apple Việt Nam,30990000.0,m3,16.0,256.0,Mac,mac,13.6,0.0
