Title,Price sale,Price origin,Screen,CPU,Ram,Storage,Graphics,Operating system,Weight,Dimensions,Origin,Year,"urlre""",Brand,Name,CPU_Model,CPU_Code,Screen size,Resolution,Panel_Type,Refresh_Rate,Brightness,Product
"Laptop Asus Vivobook S3405VA-KM071W i9 13900H/16GB/512GB/14"" 2.8K OLED//Win11 (No.00879628)",22490000.0,26990000.0,"14.0 inch, 2880 x 1800 Pixels, OLED, 90 Hz, OLED",i9,16,512.0,Intel Iris Xe Graphics,Windows 11,1.4,31.71 x 22.25 x 1.89 ~ 1.89 cm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-s3405va-km071w-i9-13900h,Asus,Asus Vivobook S3405VA-KM071W i9 13900H,Core i9,13900H,14.0,2880 x 1800 Pixels,OLED,90,OLED,S3405VA-KM071W i9 13900H
"Laptop Lenovo ThinkPad E16 G1 i5 13500H/16GB/512GB/16""WUXGA/Win 11 (No.00907329)",22900000.0,22900000.0,"16 inch, 1920 x 1200 Pixels, IPS, 60, 300 nits, Anti-Glare",i5,16,512.0,Intel Iris Xe Graphics,Windows 11,1.8,356.1 x 247.7 x 19.85 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-thinkpad-e16-g1-i5-13500h,Lenovo,Lenovo ThinkPad E16 G1 i5 13500H,Core i5,13500H,16,1920 x 1200 Pixels,IPS,60,300 nits,E16 G1 i5 13500H
"Laptop Asus Vivobook S3504VA-L1227WS i7 1360P/16GB/512GB/15.6"" FHD OLED/Win11 (No.00881387)",25990000.0,25990000.0,"15.6 inch, 1920 x 1080 Pixels, IPS, 60 Hz, 550 nits, OLED",i7,16,512.0,,Windows 11,1.7,35.97 x 23.25 x 1.79 ,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-s3504va-l1227ws-i7-1360p,Asus,Asus Vivobook S3504VA-L1227WS i7 1360P,Core i7,1360P,15.6,1920 x 1080 Pixels,IPS,60,550 nits,S3504VA-L1227WS i7 1360P
"Laptop Acer Nitro Gaming AN515-58-769J i7 12700H/8GB/512GB/15.6""FHD/GeForce RTX 3050 4GB/Win11 (No.00834736)",21990000.0,29990000.0,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, Acer ComfyView LED-backlit",i7,8,512.0,NVIDIA GeForce RTX 3050 4GB,Windows 11,2.5,360.4 x 271.09 x 25.9 mm,Trung Quốc,2022,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-58-769j-i7-12700h,Acer,Acer Nitro Gaming AN515-58-769J i7 12700H,Core i7,12700H,15.6,1920 x 1080 Pixels,IPS,144,Acer ComfyView LED-backlit,Gaming AN515-58-769J i7 12700H
"Laptop Acer Swift X SFX16-51G-50GS i5 11320H/16GB/512GB/GeForce RTX3050 4GB/16.1"" FHD/Win 11 (No.00884872)",21990000.0,30990000.0,"16.1  Chính: inch, FHD (1920 x 1080) Màn hình chính:, IPS, 60  Màn hình chính: Hz, Acer ComfyView LED-backlit Chính:",i5,16,512.0,,Windows 11,1.9,367.8 (W) x 236.1 (D) x 18.9 (H) mm,Trung Quốc,2021,https://fptshop.com.vn/may-tinh-xach-tay/acer-swift-x-sfx16-51g-50gs-i5-11320h,Acer,Acer Swift X SFX16-51G-50GS i5 11320H,Core i5,11320H,16.1,FHD (1920 x 1080) Màn hình chính:,IPS,60,Acer ComfyView LED-backlit Chính:,X SFX16-51G-50GS i5 11320H
"Laptop Lenovo Thinkpad T14s Gen 2 i5 1145G7/16GB/512GB/14"" FHD/Win 11 (No.00905155)",22990000.0,22990000.0,"14 inch, 1920 x 1200 Pixels, IPS, 60 Hz, 300 nits, Anti-Glare",i5,16,512.0,Intel Iris Xe Graphics,Windows 11,1.5,327.5 x 225.3 x 16.81 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-thinkpad-t14s-gen-2-i5-1145g7,Lenovo,Lenovo Thinkpad T14s Gen 2 i5 1145G7,Core i5,1145G7,14,1920 x 1200 Pixels,IPS,60,300 nits,T14s Gen 2 i5 1145G7
Laptop Acer Nitro 5 Tiger Gaming AN515-58-52SP i5 12500H/8GB/512GB SSD/GeForce RTX 3050 4GB/Win11 (No.00798025),20990000.0,29490000.0,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, Acer ComfyView LED-backlit",i5,8,512.0,NVIDIA GeForce RTX 3050 4GB; Intel Iris Xe Graphics,Windows 11,2.5,360.4 x 271.09 x 25.9 mm,Trung Quốc,2022,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-58-52sp-i5-12500h,Acer,Acer Nitro 5 Tiger Gaming AN515-58-52SP i5 12500H,Core i5,12500H,15.6,1920 x 1080 Pixels,IPS,144,Acer ComfyView LED-backlit,5 Tiger Gaming AN515-58-52SP i5 12500H
"Laptop HP ProBook 440 G10 i5 1340P/16GB/512GB/14""FHD Touch/Win11 (No.00888665)",23290000.0,23290000.0,"14.0 inch, 1920 x 1080 Pixels, IPS, 60 Hz, Anti-glare LED UWVA",i5,16,512.0,,Windows 11,1.3,32.19 x 21.39 x 1.99 cm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/hp-probook-440-g10-i5-1340p,HP,HP ProBook 440 G10 i5 1340P,Core i5,1340P,14.0,1920 x 1080 Pixels,IPS,60,Anti-glare LED UWVA,440 G10 i5 1340P
"Laptop Asus Vivobook Pro 14 OLED K3405ZF-KM184W i5 12500H/16GB/512GB/14"" 2.8K/Nvidia RTX2050 4GB/Win11 (No.00906609)",20490000.0,25990000.0,"14 inch, 2880 x 1800 Pixels Màn hình chính:, OLED, 90, OLED",i5,16,512.0,NVIDIA Geforce RTX 2050 4GB; Intel UHD Graphics,Windows 11,1.4,31.71 x 22.25 x 1.89 ~ 1.89 cm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-pro-14-oled-k3405zf-km184w-i5-12500h,Asus,Asus Vivobook Pro 14 OLED K3405ZF-KM184W i5 12500H,Core i5,12500H,14,2880 x 1800 Pixels Màn hình chính:,OLED,90,OLED,Pro 14 OLED K3405ZF-KM184W i5 12500H
Laptop HP Gaming Victus 15-fb1022AX R5 7535HS/16GB/512GB/15.6''FHD/NVIDIA RTX2050 4GB/Win11 (No.00906463),19990000.0,25490000.0,"15.6 inch, 1920 x 1080 Pixels, IPS, 144, Anti-Glare",Ryzen 5,16,512.0,NVIDIA GeForce RTX 2050; AMD Radeon Graphics,Windows 11,2.2,35.79 x 25.5 x 2.35 cm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/hp-gaming-victus-15-fb1022ax-r5-7535hs,HP,HP Gaming Victus 15-fb1022AX R5 7535HS,Ryzen 5,7535HS,15.6,1920 x 1080 Pixels,IPS,144,Anti-Glare,Victus 15-fb1022AX R5 7535HS
