Title,Price sale,Price origin,Screen,CPU,Ram,Storage,Graphics,Operating system,Weight,Dimensions,Origin,Year,"urlre""",Brand,Name,CPU_Model,CPU_Code,Screen size,Resolution,Panel_Type,Refresh_Rate,Brightness,Product
"Laptop Lenovo ThinkBook 16 G6 IRL i5-13500H/16GB/512GB/16.0""WUXGA/Win11 (No.00907594)",17490000.0,17990000.0,"16 inch, 1920 x 1200 Pixels, IPS, 0, 300 nits, Anti-glare LED Backlit Ultra Slim Chính:",i5,16,512.0,Intel Iris Xe Graphics,Windows 11,1.7,356 x 253.5 x 17.5 mm,Trung Quốc,2024,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-thinkbook-16-g6-irl-i5-13500h,Lenovo,Lenovo ThinkBook 16 G6 IRL i5-13500H,Core i5,13500H,16,1920 x 1200 Pixels,IPS,0,300 nits,16 G6 IRL i5-13500H
"Laptop Lenovo Ideapad Slim 3 15IRH8 i7 13620H/16GB/512GB/15.6"" FHD/Win 11 (No.00907328)",18490000.0,18490000.0,"15.6 inch, 1920 x 1200 Pixels, IPS, 60, 300 nits, Anti-Glare",i7,16,512.0,Intel UHD Graphics,Windows 11,1.6,359.3 x 235 x 17.9 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-slim-3-15irh8-i7-13620h,Lenovo,Lenovo Ideapad Slim 3 15IRH8 i7 13620H,Core i7,13620H,15.6,1920 x 1200 Pixels,IPS,60,300 nits,Slim 3 15IRH8 i7 13620H
"Laptop MSI Gaming Cyborg 15 A12UCX-281VN i5-12450H/8GB/512GB/15.6""FHD/RTX 2050 4GB/Win11_Balo (No.00904603)",18990000.0,18990000.0,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, 250 nits, IPS FHD",i5,8,512.0,NVIDIA Geforce RTX 2050 4GB,Windows 11,1.9,359.36 x 250.34 x 21.95~22.9 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-cyborg-15-a12ucx-281vn-i5-12450h,MSI,MSI Gaming Cyborg 15 A12UCX-281VN i5-12450H,Core i5,12450H,15.6,1920 x 1080 Pixels,IPS,144,250 nits,Cyborg 15 A12UCX-281VN i5-12450H
"Laptop MSI Gaming Cyborg 15 A12UCX-281VN i5-12450H/8GB/512GB/15.6""FHD/RTX 2050 4GB/Win11_Balo (No.00904603)",16990000.0,18990000.0,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, 250 nits, IPS FHD",i5,8,512.0,NVIDIA Geforce RTX 2050 4GB,Windows 11,1.9,359.36 x 250.34 x 21.95~22.9 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-cyborg-15-a12ucx-281vn-i5-12450h,MSI,MSI Gaming Cyborg 15 A12UCX-281VN i5-12450H,Core i5,12450H,15.6,1920 x 1080 Pixels,IPS,144,250 nits,Cyborg 15 A12UCX-281VN i5-12450H
"Laptop Lenovo Ideapad Slim 5 Light 14ABR8 R7 7730U/16GB/512GB/14.0""FHD/Win11 (No.00881885)",19990000.0,19990000.0,"14.0 inch, 1920 x 1080 Pixels, IPS, Hz, 300 nits, Anti-Glare LED-Backlit Display",Ryzen 7,16,512.0,AMD Radeon Graphics,Windows 11,1.1,324.1 x 215.7 x 17.1 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-slim-5-light-14abr8-r7-7730,Lenovo,Lenovo Ideapad Slim 5 Light 14ABR8 R7 7730U,Ryzen 7,7730U,14.0,1920 x 1080 Pixels,IPS,Hz,300 nits,Slim 5 Light 14ABR8 R7 7730U
"Laptop HP 15s fq5160TU i5 1235U/16GB/512GB/15.6""FHD/Win 11 (No.00851505)",19990000.0,19990000.0,"15.6 inch, 1920 x 1080 Pixels, IPS, 60 Hz, 250 nits, Anti-Glare",i5,16,512.0,Intel Iris Xe Graphics,Windows 11,1.7,35.85 x 24.2 x 1.79 cm,Trung Quốc,2022,https://fptshop.com.vn/may-tinh-xach-tay/hp-15s-fq5160tu-i5-1235u,HP,HP 15s fq5160TU i5 1235U,Core i5,1235U,15.6,1920 x 1080 Pixels,IPS,60,250 nits,fq5160TU i5 1235U
"Laptop HP 15s-fq5146TU i7 1255U/8GB/512GB/15.6""FHD/Win11 (No.00862458)",22890000.0,22890000.0,"15.6 inch, 1920 x 1080 Pixels, WVA, 60 Hz, 250 nits, Wide-Viewing Angle (WVA)",i7,8,512.0,,Windows 11,1.6,"35,85 x 24,2 x 1,79 cm",Trung Quốc,2022,https://fptshop.com.vn/may-tinh-xach-tay/hp-15s-fq5146tu-i7-1255u,HP,HP 15s-fq5146TU i7 1255U,Core i7,1255U,15.6,1920 x 1080 Pixels,WVA,60,250 nits,i7 1255U
"Laptop Dell Inspiron 15 N3520 i5 1235U/16GB/512GB/15.6""FHD/Win11/Office HS21 (25P231) (No.00906292)",16490000.0,16990000.0,"15.6 inch, FHD (1920 x 1080), IPS, 120, FHD",i5,16,512.0,Intel Iris Xe Graphics,Windows 11,1.6,35.85 x 23.49 x 1.75 cm,Trung Quốc,2022,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-15-n3520-i5-1235u-512gb,Dell,Dell Inspiron 15 N3520 i5 1235U,Core i5,1235U,15.6,FHD (1920 x 1080),IPS,120,FHD,15 N3520 i5 1235U
Laptop HP Pavilion 15-eg2083TU i5 1240P/8GB/512GB/15.6''FHD/Win11 (No.00859666),16190000.0,19790000.0,"15,6 inch, 1920 x 1080 Pixels, IPS, 60 Hz, IPS FHD",i5,8,512.0,,Windows 11,1.7,36.02 x 23.4 x 1.79 (W x D x H) cm,Trung Quốc,2022,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-15-eg2083tu-i5-1240p,HP,HP Pavilion 15-eg2083TU i5 1240P,Core i5,1240P,15,6 inch,1920 x 1080 Pixels,IPS,60 Hz,15-eg2083TU i5 1240P
"Laptop Dell Vostro 14 V3420 i5 1235U/8GB/512GB/14""FHD/Win11/Office HS21 (No.00907767)",15990000.0,15990000.0,,,,,,Windows 11,,,,,https://fptshop.com.vn/may-tinh-xach-tay/dell-vostro-14-v3420-i5-1235u,Dell,Dell Vostro 14 V3420 i5 1235U,,,,,,,,14 V3420 i5 1235U
"Laptop Acer Aspire 7 A715-76-53PJ i5 12450H/16GB/512GB/15.6""""FHD/Win11 (No.00904728)",16990000.0,16990000.0,"15.6 inch, FHD (1920 x 1080), IPS, 60 Hz, Acer ComfyView LED-backlit",i5,16,512.0,Intel UHD Graphics,Windows 11,2.1,362.3 x 237.4  x 19.9 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/laptop-acer-aspire-7-a715-76-53pj-i5-12450h,Acer,Acer Aspire 7 A715-76-53PJ i5 12450H,Core i5,12450H,15.6,FHD (1920 x 1080),IPS,60,Acer ComfyView LED-backlit,7 A715-76-53PJ i5 12450H
Laptop Acer Aspire Gaming A715-43G-R8GA R5 5625U/8GB/512GB SSD/GeForce RTX3050 4GB/Win 11 (No.00879630),15490000.0,21990000.0,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, Acer ComfyView LED-backlit",Ryzen 5,8,512.0,NVIDIA GeForce RTX 3050 4GB,Windows 11,2.1,36.34 x 25.45 x 2.29 cm (W x D x H) cm,Trung Quốc,2022,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-gaming-a715-43g-r8ga-r5-5625u,Acer,Acer Aspire Gaming A715-43G-R8GA R5 5625U,Ryzen 5,5625U,15.6,1920 x 1080 Pixels,IPS,144,Acer ComfyView LED-backlit,Gaming A715-43G-R8GA R5 5625U
Laptop VAIO FE14 i5 1235U/8GB/512GB/14'' FHD/Intel UHD/Win11/VWNC51427-BK (No.00884028),15490000.0,18990000.0,"14.0 inch, 1920 x 1080 Pixelss , 60Hz, IPS, 60 Hz, IPS FHD",i5,8,512.0,Intel UHD Graphics,Windows 11,1.8,35.8 x 23.9 x 1.98 cm,Trung Quốc,2022,https://fptshop.com.vn/may-tinh-xach-tay/vaio-fe14-i5-1235u-vwnc51427-bk,VAIO,VAIO FE14 i5 1235U,Core i5,1235U,14.0,1920 x 1080 Pixelss,60Hz,IPS,60 Hz,i5 1235U
Laptop Acer Nitro Gaming AN515-57-5669 i5 11400H/8GB/512GB SSD/GeForce GTX 1650 4GB/Win11 (No.00789041),15490000.0,22490000.0,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, Acer ComfyView LED-backlit",i5,8,512.0,NVIDIA GeForce GTX 1650 4GB; Intel UHD Graphics,Windows 11,2.2,363.4 x 255 x 23.9 mm,Trung Quốc,2021,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-57-5669-i5-11400h,Acer,Acer Nitro Gaming AN515-57-5669 i5 11400H,Core i5,11400H,15.6,1920 x 1080 Pixels,IPS,144,Acer ComfyView LED-backlit,Gaming AN515-57-5669 i5 11400H
"Laptop Asus Vivobook  A1503ZA-L1139W i5 12500H/8GB/512GB/15.6""FHD/Win 11 (No.00825034)",14990000.0,21490000.0,"15.6 inch, 1920 x 1080 Pixels, IPS, 60 Hz, 600 nits, OLED",i5,8,512.0,Intel UHD Graphics,Windows 11,1.7,356.8 x 227.6 x 19.9 mm,Trung Quốc,2022,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-a1503za-l1139w-i5-12500h,Asus,Asus Vivobook  A1503ZA-L1139W i5 12500H,Core i5,12500H,15.6,1920 x 1080 Pixels,IPS,60,600 nits,A1503ZA-L1139W i5 12500H
"Laptop Asus Vivobook M3504YA-L1144W R5 7530U/16GB/512GB/15.6""OLED/Win11 (No.00881383)",14990000.0,18990000.0,"15.6 inch, FHD (1920 x 1080), IPS, 60 Hz, OLED",Ryzen 5,16,512.0,,Windows 11,1.7,35.97 x 23.25 x 1.79 cm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-m3504ya-l1144w-r5-7530u,Asus,Asus Vivobook M3504YA-L1144W R5 7530U,Ryzen 5,7530U,15.6,FHD (1920 x 1080),IPS,60,OLED,M3504YA-L1144W R5 7530U
"Laptop MSI Modern 15 B7M-238VN R7 7730U/16GB/512GB/15.6""FHD/Win 11 (No.00878151)",16990000.0,16990000.0,"15.6 inch, 1920 x 1080 Pixels, IPS, 60 Hz, FHD",Ryzen 7,16,512.0,AMD Radeon Graphics,Windows 11,1.4,359 x 241 x 19.9 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-15-b7m-238vn-r7-7730u,MSI,MSI Modern 15 B7M-238VN R7 7730U,Ryzen 7,7730U,15.6,1920 x 1080 Pixels,IPS,60,FHD,15 B7M-238VN R7 7730U
"Laptop Acer Aspire 5 A515-58P-56RP i5 1335U/16GB/512GB/15.6""FHD/Win11 (No.00904691)",16990000.0,16990000.0,"15.6 inch, FHD (1920 x 1080), IPS, 60 Hz, Acer ComfyView Anti-glare LED-backlit",i5,16,512.0,Intel UHD Graphics,Windows 11,1.7,362.9 x 237.5  x 17.99 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-5-a515-58p-56rp-i5-1335u,Acer,Acer Aspire 5 A515-58P-56RP i5 1335U,Core i5,1335U,15.6,FHD (1920 x 1080),IPS,60,Acer ComfyView Anti-glare LED-backlit,5 A515-58P-56RP i5 1335U
Laptop Asus Vivobook M1605YA-MB303W R7 7730U/16GB/512GB/16 inch/Win11 (No.00904945),15990000.0,15990000.0,"16 inch, 1920 x 1200 Pixels, IPS, 60 Hz, LED Backlit",Ryzen 7,16,512.0,AMD Radeon Graphics,Windows 11,1.8,35.87 x 24.95 x 1.99 cm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-m1605ya-mb303w-r7-7730u,Asus,Asus Vivobook M1605YA-MB303W R7 7730U,Ryzen 7,7730U,16,1920 x 1200 Pixels,IPS,60,LED Backlit,M1605YA-MB303W R7 7730U
"Laptop Asus Vivobook X1605VA-MB105W i5 1335U/8GB/512GB SSD/16"" WUXGA/Win11 (No.00873156)",18190000.0,18190000.0,"16 inch, 1920 x 1200 Pixels, IPS, 60 Hz, Anti-Glare",i5,8,512.0,,Windows 11,1.6,35.87 x 24.95 x 1.99 ~ 1.99 cm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-x1605va-mb105w-i5-1335u,Asus,Asus Vivobook X1605VA-MB105W i5 1335U,Core i5,1335U,16,1920 x 1200 Pixels,IPS,60,Anti-Glare,X1605VA-MB105W i5 1335U
Laptop Acer Swift 3 SF314-511-55QE i5 1135G7/16GB/512GB SSD/Win11 (No.00793771),13990000.0,23790000.0,"14.0 inch, 1920 x 1080 Pixels, IPS, 60 Hz, Acer ComfyView Anti-glare LED-backlit",i5,16,512.0,Intel Iris Xe Graphics,Windows 11,1.1,15.9	x 322.8 x 212.2 mm,,2021,https://fptshop.com.vn/may-tinh-xach-tay/acer-swift-3-sf314-511-55qe-i5-1135g7,Acer,Acer Swift 3 SF314-511-55QE i5 1135G7,Core i5,1135G7,14.0,1920 x 1080 Pixels,IPS,60,Acer ComfyView Anti-glare LED-backlit,3 SF314-511-55QE i5 1135G7
Laptop Lenovo V14 G4 IRU i5 1335U/16GB/512GB/14” FHD/Win 11 (No.00906645),14790000.0,14790000.0,"14 inch, FHD (1920 x 1080) TN, IPS, 240, 300 nits, IPS LCD",i5,16,512.0,Intel Iris Xe Graphics,Windows 11,1.4,324.2 x 215.2 x 19.9 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-v14-g4-iru-i5-1335u,Lenovo,Lenovo V14 G4 IRU i5 1335U,Core i5,1335U,14,FHD (1920 x 1080) TN,IPS,240,300 nits,G4 IRU i5 1335U
Laptop Acer Swift 3 SF314-43-R4X3 R5 5500U/16GB/512GB SSD/Win11 (No.00783546),13490000.0,20990000.0,"14.0 inch, 1920 x 1080 Pixels, IPS, 60 Hz, Acer ComfyView LED-backlit",Ryzen 5,16,512.0,AMD Radeon Graphics,Windows 11,1.1,322.8 x 212.2 x 15.9 mm,Trung Quốc,2021,https://fptshop.com.vn/may-tinh-xach-tay/acer-swift-3-sf314-43-r4x3-r5-5500u,Acer,Acer Swift 3 SF314-43-R4X3 R5 5500U,Ryzen 5,5500U,14.0,1920 x 1080 Pixels,IPS,60,Acer ComfyView LED-backlit,3 SF314-43-R4X3 R5 5500U
"Laptop Acer Aspire 3 A315-59-51X8 i5 1235U/8GB/512GB/15.6""FHD/Win11 (No.00888750)",12990000.0,17990000.0,"15.6 inch, 1920 x 1080 Pixels, TFT, 60 Hz, Acer ComfyView LED-backlit",i5,8,512.0,Intel UHD Graphics,Windows 11,1.7,362.9x241.26x19.9 mm,Trung Quốc,2022,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-3-a315-59-51x8-i5-1235u,Acer,Acer Aspire 3 A315-59-51X8 i5 1235U,Core i5,1235U,15.6,1920 x 1080 Pixels,TFT,60,Acer ComfyView LED-backlit,3 A315-59-51X8 i5 1235U
"Laptop MSI Modern 15 B7M-231VN R5 7530U/16GB/512GB/15.6""FHD/Win 11 (No.00888833)",14990000.0,14990000.0,"15.6 inch, 1920 x 1080 Pixels, IPS, 60 Hz, FHD",Ryzen 5,16,512.0,AMD Radeon Graphics,Windows 11,1.4,359 x 241 x 19.9 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-15-b7m-231vn-r5-7530u,MSI,MSI Modern 15 B7M-231VN R5 7530U,Ryzen 5,7530U,15.6,1920 x 1080 Pixels,IPS,60,FHD,15 B7M-231VN R5 7530U
"Laptop Lenovo Ideapad 1 - 14ALC7 R7 5700U/16GB/512GB/14.0"" FHD/Win 11 (No.00906628)",13990000.0,13990000.0,"14 inch, 1920 x 1080 Pixels, IPS, 60, 250 nits, IPS FHD",Ryzen 7,16,512.0,AMD Radeon Graphics,Windows 11,1.3,325.3 x 216.5 x 17.9 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-1-14alc7-r7-5700u,Lenovo,Lenovo Ideapad 1 - 14ALC7 R7 5700U,Ryzen 7,5700U,14,1920 x 1080 Pixels,IPS,60,250 nits,1 - 14ALC7 R7 5700U
Laptop Acer Aspire 5 A514-54-5127 i5 1135G7/8GB/512GB SSD/14.0''FHD/Win11 (No.00797334),12490000.0,16990000.0,"14.0 inch, 1920 x 1080 Pixels, IPS, 60 Hz, Acer ComfyView Anti-glare LED-backlit",i5,8,512.0,Intel Iris Xe Graphics,Windows 11,1.4,328 x 222.9 x 17.9 mm,Trung Quốc,2021,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-a514-54-5127-i5-1135g7,Acer,Acer Aspire 5 A514-54-5127 i5 1135G7,Core i5,1135G7,14.0,1920 x 1080 Pixels,IPS,60,Acer ComfyView Anti-glare LED-backlit,5 A514-54-5127 i5 1135G7
"Laptop Acer Aspire 3 A314-23M-R4TX R5 7520U/8GB/512GB/14""FHD/Win11 (No.00888224)",13290000.0,13290000.0,"14.0 inch, 1920 x 1080 Pixels, IPS, 60 Hz, Acer ComfyView LED-backlit",Ryzen 5,8,512.0,AMD Radeon Graphics,Windows 11,1.4,328.3 (W) x 217.15 (D) x 18.0 (H) mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-3-a314-23m-r4tx-r5-7520u,Acer,Acer Aspire 3 A314-23M-R4TX R5 7520U,Ryzen 5,7520U,14.0,1920 x 1080 Pixels,IPS,60,Acer ComfyView LED-backlit,3 A314-23M-R4TX R5 7520U
"Laptop MSI Modern 15 B7M-098VN R7 7730U/8GB/512GB/15.6""FHD/Win 11 (No.00866562)",14990000.0,14990000.0,"15.6 inch, 1920 x 1080 Pixels, IPS, 60 Hz, FHD",Ryzen 7,8,512.0,AMD Radeon Graphics,Windows 11,1.4,359 * 241 * 19.9 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-15-b7m-098vn-r7-7730u,MSI,MSI Modern 15 B7M-098VN R7 7730U,Ryzen 7,7730U,15.6,1920 x 1080 Pixels,IPS,60,FHD,15 B7M-098VN R7 7730U
"Laptop Lenovo V15 G4 AMN R5 7520U/16GB/512GB/15.6""FHD/Win11 (No.00907327)",11490000.0,11490000.0,"15.6 inch, 1920 x 1200 Pixels, IPS, 60, 300 nits, Anti-Glare",Ryzen 5,16,512.0,AMD Radeon 610M Graphics,Windows 11,1.6,359.2 x 235.8 x 19.9 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-v15-g4-amn-r5-7520u,Lenovo,Lenovo V15 G4 AMN R5 7520U,Ryzen 5,7520U,15.6,1920 x 1200 Pixels,IPS,60,300 nits,G4 AMN R5 7520U
"Laptop HP 15s-fq5230TU i3-1215U/8GB/256GB/15.6""FHD/Win11 (No.00906458)",9990000.0,11990000.0,"15.6 inch, 1920 x 1080 Pixels, SVA, 60, Anti-Glare",i3,8,256.0,Intel UHD Graphics,Windows 11,1.6,35.85 x 24.2 x 1.79 cm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/hp-15s-fq5230tu-i3-1215u,HP,HP 15s-fq5230TU i3-1215U,Core i3,1215U,15.6,1920 x 1080 Pixels,SVA,60,Anti-Glare,i3-1215U
"Laptop Huawei MateBook D14 BE i3 1215U/8GB/256GB/14""FHD+/Win11 (No.00888042)",11990000.0,11990000.0,"14.0 inch, 1920 x 1080 Pixelss , 60Hz, IPS, 60 Hz, 300 nits, Anti-Glare LED-Backlit Display",i3,8,256.0,Intel UHD Graphics,Windows 11,1.3,314.5 × 227.79 × 15.9 mm,Trung Quốc,2022,https://fptshop.com.vn/may-tinh-xach-tay/huawei-ytfz-x-matebook-d14-be-i3-1215u,Huawei,Huawei MateBook D14 BE i3 1215U,Core i3,1215U,14.0,1920 x 1080 Pixelss,60Hz,IPS,60 Hz,D14 BE i3 1215U
"Laptop HP 245 G9 R5 5625U/8GB/256GB/14""FHD/Win11 (No.00881756)",13090000.0,13090000.0,"14.0 inch, 1920 x 1080 Pixels, IPS, 60 Hz, 250 nits, LCD",Ryzen 5,8,256.0,AMD Radeon Graphics,Windows 11,1.4,32.4 x 22.59 x 1.99 cm,Trung Quốc,2022,https://fptshop.com.vn/may-tinh-xach-tay/hp-245-g9-r5-5625u,HP,HP 245 G9 R5 5625U,Ryzen 5,5625U,14.0,1920 x 1080 Pixels,IPS,60,250 nits,G9 R5 5625U
Laptop HP 240 G10 i3 N305/8GB/256GB/14'' FHD/Win11 (No.00907512),11990000.0,11990000.0,"14 inch, 1920 x 1080 Pixels, IPS, 60, Anti-Glare",i3,8,256.0,Intel UHD Graphics,Windows 11,1.3,32.4 x 21.5 x 1.79 cm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/hp-240-g10-i3-n3058,HP,HP 240 G10 i3 N305,Core i3,N305,14,1920 x 1080 Pixels,IPS,60,Anti-Glare,G10 i3 N305
Laptop HP 14s-em0080AU R3 7320U/8GB/256GB/14''FHD/Win11 (No.00872256),8990000.0,11690000.0,"14.0 inch, 1920 x 1080 Pixels, SVA, 60 Hz, Anti-Glare",Ryzen 3,8,256.0,,Windows 11,1.4,32.37 x 21.5 x 1.79 cm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/hp-14s-em0080au-r3-7320u,HP,HP 14s-em0080AU R3 7320U,Ryzen 3,7320U,14.0,1920 x 1080 Pixels,SVA,60,Anti-Glare,R3 7320U
"Laptop Asus Vivobook X1404ZA-NK075W i3 1215U/8GB/256GB/14"" FHD/Win11 (No.00892868)",12490000.0,12490000.0,"14.0  Chính: inch, 1920 x 1080 Pixels Màn hình chính:, IPS, 60  Màn hình chính: Hz, FHD Chính:",i3,8,256.0,,Windows 11,1.4,32.49 x 21.39 x 1.79 cm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-x1404za-nk075w-i3-1215u,Asus,Asus Vivobook X1404ZA-NK075W i3 1215U,Core i3,1215U,14.0,1920 x 1080 Pixels Màn hình chính:,IPS,60,FHD Chính:,X1404ZA-NK075W i3 1215U
Laptop Asus ROG Strix Scar 18 Gaming G834JYR-R6011W i9 14900HX/64GB/2TB/18'' 240Hz/Nvidia RTX4090 16GB/Win11 (No.00906610),130000000.0,130000000.0,"18 inch, 2560 x 1600 Pixels, IPS, 240, Anti-Glare",i9,64,1024.0,NVIDIA GeForce RTX 4090 16GB; Intel UHD Graphics,Windows 11,3.1,39.9 x 29.4 x 2.31 ~ 3.08 cm cm,Trung Quốc,2024,https://fptshop.com.vn/may-tinh-xach-tay/asus-rog-strix-scar-18-gaming-g834jyr-r6011w-i9-14900hx,Asus,Asus ROG Strix Scar 18 Gaming G834JYR-R6011W i9 14900HX,Core i9,14900HX,18,2560 x 1600 Pixels,IPS,240,Anti-Glare,Strix Scar 18 Gaming G834JYR-R6011W i9 14900HX
MacBook Pro 16 2023 M3 Max 16 CPU/40 GPU/48GB/1TB (No.00905252),102490000.0,102490000.0,"16.2 inch, 3456 x 2234 Pixels, IPS, 120 Hz, 1600 nit, Liquid Retina XDR",M3 Max,48,1024.0,Apple M3 Max 40-core GPU,Mac,2.1,"1,68 x 35,57 x 24,81 cm",Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/macbook-pro-16-2023-m3-max-16-cpu-40-gpu-48gb-1tb,Mac,Pro 16 2023 M3 Max 16 CPU,M3 Max,16-core,16.2,3456 x 2234 Pixels,IPS,120,1600 nit,2023 M3 Max 16 CPU
Laptop Asus ROG Strix 16 Gaming G634JZR-NM009W i9 14900HX/64GB/2TB/16'' 240Hz/Nvidia RTX4080 12GB/Win11 (No.00906612),100000000.0,110000000.0,"16 inch, 2560 x 1600 Pixels, IPS, 240, Anti-Glare",i9,64,1024.0,NVIDIA GeForce RTX 4080 12GB; Intel UHD Graphics,Windows 11,2.6,35.4 x 26.4 x 2.26 ~ 3.04 cm,Trung Quốc,2024,https://fptshop.com.vn/may-tinh-xach-tay/asus-rog-strix-16-gaming-g634jzr-nm009w-i9-14900hx,Asus,Asus ROG Strix 16 Gaming G634JZR-NM009W i9 14900HX,Core i9,14900HX,16,2560 x 1600 Pixels,IPS,240,Anti-Glare,Strix 16 Gaming G634JZR-NM009W i9 14900HX
MacBook Pro 16 2023 M3 Max 14 CPU/30 GPU/36GB/1TB (No.00905254),89990000.0,89990000.0,"16.2 inch, 3456 x 2234 Pixels, IPS, 120 Hz, 1600 nit, Liquid Retina XDR",M3 Max,36,1024.0,Apple M3 Max 30-core GPU,Mac,2.1,"1,68 x 35,57 x 24,81 cm",Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/macbook-pro-16-2023-m3-max-14-cpu-30-gpu-36gb-1tb,Mac,Pro 16 2023 M3 Max 14 CPU,M3 Max,14-core,16.2,3456 x 2234 Pixels,IPS,120,1600 nit,2023 M3 Max 14 CPU
MacBook Pro 14 2023 M3 Max 14 CPU/30 GPU/36GB/1TB (No.00905260),79990000.0,79990000.0,"14.2 inch, 3024 x 1964 Pixels, IPS, 120 Hz, 1600 nit, Liquid Retina XDR",M3 Max,36,1024.0,Apple M3 Max 30-core GPU,Mac,1.6,"1,55 x 31,26 x 22,12 cm",Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/macbook-pro-14-2023-m3-max-14-cpu-30-gpu-36gb-1tb,Mac,Pro 14 2023 M3 Max 14 CPU,M3 Max,14-core,14.2,3024 x 1964 Pixels,IPS,120,1600 nit,2023 M3 Max 14 CPU
MacBook Pro 16 2023 M3 Pro 12 CPU/18 GPU/36GB/512GB (No.00905248),74990000.0,74990000.0,"16.2 inch, 3456 x 2234 Pixels, IPS, 120 Hz, 1600 nit, Liquid Retina XDR",M3 Pro,36,512.0,Apple M3 Pro 18-core GPU,Mac,2.1,"1,68 x 35,57 x 24,81 cm",Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/macbook-pro-16-2023-m3-pro-12-cpu-18-gpu-36gb-512gb,Mac,Pro 16 2023 M3 Pro 12 CPU,M3 Pro,12-Core,16.2,3456 x 2234 Pixels,IPS,120,1600 nit,2023 M3 Pro 12 CPU
Laptop Asus ROG Strix 18 Gaming G814JIR-N6007W i9 14900HX/32G/1TB/18'' 240Hz/Nvidia RTX4070 8GB/Win11 (No.00906611),70990000.0,70990000.0,"18 inch, 2560 x 1600 Pixels, IPS, 240, Anti-Glare",i9,32,1024.0,NVIDIA Geforce RTX 4070 8GB GDDR6; Intel UHD Graphics,Windows 11,3,39.9 x 29.4 x 2.31 ~ 3.08 cm,Trung Quốc,2024,https://fptshop.com.vn/may-tinh-xach-tay/asus-rog-strix-18-gaming-g814jir-n6007w-i9-14900hx,Asus,Asus ROG Strix 18 Gaming G814JIR-N6007W i9 14900HX,Core i9,14900HX,18,2560 x 1600 Pixels,IPS,240,Anti-Glare,Strix 18 Gaming G814JIR-N6007W i9 14900HX
"Laptop Lenovo Gaming Legion Pro 5 16IRX9 i9 14900HX/32GB/1TB/16""WQXGA/Win11 (No.00907215)",48990000.0,48990000.0,"16 inch, 2560 x 1600 Pixels, IPS, 240, 500 nits, Anti - Glare",i9,32,1024.0,NVIDIA Geforce RTX 4060 8GB GDDR6,Windows 11,2.5,363.4 x 260.35 x 22.45 mm,Trung Quốc,2024,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-gaming-legion-pro-5-16irx9-i9-14900hx,Lenovo,Lenovo Gaming Legion Pro 5 16IRX9 i9 14900HX,Core i9,14900HX,16,2560 x 1600 Pixels,IPS,240,500 nits,Legion Pro 5 16IRX9 i9 14900HX
